Carnobacterium mobile DSM 4848
Rhabdonatronobacter sediminivivens
Protoblastenia rupestris
Sarea resinae
Prorops nasuta
Gordonia rhizosphera NBRC 16068
Marinobacter maroccanus
Cottoperca gobio
Flagellimonas okinawensis
Lecanosticta acicola
Marinobacter similis
Trichilia minutiflora
Coptotermes formosanus
Lutimonas vermicola
Astraptes brevicauda
Microvirga flavescens
Aegotheles albertisi
Glaciozyma antarctica PI12
Mycobacteroides immunogenum
Rickettsiella endosymbiont of Litargus connexus
Terrilactibacillus laevilacticus
Haloarcula marina
Syngnathoides biaculeatus
Duopalatinus emarginatus
Carex caryophyllea
Bucorvus leadbeateri
Dictyobacter aurantiacus
Psittacicella hinzii
Isobaculum melis
Corynebacterium falsenii
Chlorencoelia torta
Cachryx defensor
Micromonospora aurantiaca ATCC 27029
Gorsachius goisagi
Dyella ginsengisoli
Jiella mangrovi
Tethea ocularis
Sphingosinicella microcystinivorans
Flavobacterium flavipigmentatum
Thermosynechococcus vestitus BP-1
Zavarzinella formosa DSM 19928
Candidatus Cetobacterium colombiensis
Chlorobaculum thiosulfatiphilum
Caenorhabditis quiockensis
Gossypium klotzschianum
Mucor flavus
Fragum fragum
Psychroserpens jangbogonensis
Martelella mangrovi
Alouatta discolor
Lacticaseibacillus porcinae
Nonomuraea dietziae
Terpios hoshinota
Nitrosospira briensis C-128
Nocardioides zeicaulis
Doryteuthis opalescens
Pseudoduganella danionis
Phaeostrophion irregulare
Jeotgalibacillus campisalis
Leptoptilos crumenifer
Tyrannus savana
Emydomyces testavorans
Halobaculum rubrum
Thalassiosira rotula
Lipomyces yarrowii
Kodamaea hsintzibuensis (nom. inval.)
Pyxidicoccus fallax
Nedystoma dayi
Pontibacter mucosus
Tetragenococcus koreensis
Wolbachia endosymbiont of Drosophila yakuba
Neodrepanis coruscans
Saccharomycopsis lassenensis
Pseudotamlana agarivorans
Sphaerisporangium flaviroseum
Portibacter marinus
Salvia rosmarinus
Oxyeleotris marmorata
Eira barbara
Spiroplasma endosymbiont of Cantharis lateralis
Noctuana brunneofusca
Aphidius colemani
Redunca redunca
Saccharothrix carnea
Aeromonas rivuli
Maribacter spongiicola
Saguinus mystax
Clepsis rurinana
Methylophaga nitratireducenticrescens
Papilio thoas cinyras
Nanorana parkeri
Zoophagus insidians
Georgenia thermotolerans
Agromyces kandeliae
Haloferax namakaokahaiae
Yanghanlia caeni
Pneumocystis carinii B80
Bifidobacterium pullorum
Nocardioides oceani
Lentiprolixibacter aurantiacus
Nocardia rhamnosiphila NBRC 108938
Balanus nubilus
Bartonella ancashensis
Methanocaldococcus villosus KIN24-T80
Nisaetus nipalensis
Wolbachia endosymbiont of Oedothorax gibbosus
Polaribacter tangerinus
Pseudomonas sediminis
Lyticum sinuosum
Candidatus Doolittlea endobia
Glutamicibacter halophytocola
Plesiomonas shigelloides
Anolis planiceps
Borrelia coriaceae
Capra falconeri
Diaporthe destruens
Bifidobacterium italicum
Metschnikowia baotianmanensis
Pleionea sediminis
Tropheus brichardi
Flavobacterium caeni
Ramphastos sulfuratus
Maribacter cobaltidurans
Candidatus Halocynthiibacter alkanivorans
Corynebacterium coyleae
Dimargaris verticillata
Whalleya microplaca
Podarcis muralis
Croceitalea rosinachiae
Austroboletus festivus
Panicum hallii
Parabacteroides chartae
Globomyces pollinis-pini
Picrophilus oshimae DSM 9789
Anomoia purmunda
Sula sula
Letrouitia transgressa
Delonix regia
Edaphocola flava
Cyberlindnera galapagoensis
Skeletonema dohrnii
Streptomyces rimosus subsp. rimosus ATCC 10970
Oplegnathus fasciatus
Natrix helvetica
Clostridiisalibacter paucivorans DSM 22131
Drymarchon corais
Alternaria triticimaculans
Loigolactobacillus iwatensis
Dasyurus viverrinus
Erysimum cheiri
Penicillium ucsense
Deinococcus psychrotolerans
Haloglomus salinum
Cellulosilyticum ruminicola JCM 14822
Linnemannia schmuckeri
Cupriavidus gilardii
Ktedonosporobacter rubrisoli
Micromonospora tarensis
Kipferlia bialata
Selenomonas noxia ATCC 43541
Trueperella abortisuis
Metabacillus endolithicus
Devosia insulae DS-56
Dietzia aerolata
Fusarium louisianense
Merzomyia westermanni
Deinococcus rufus
Cyanopsitta spixii
Colletotrichum noveboracense
Methanococcus maripaludis
Janibacter limosus NBRC 16128
Rhizobium sullae
Crocinitomix algicola
Scopulibacillus daqui
Streptomyces corallincola
Sediminicola arcticus
Lysobacter yangpyeongensis
Inosperma erubescens
Limosilactobacillus equigenerosi DSM 18793 = JCM 14505
Spongiimicrobium salis
Pseudomonas benzopyrenica
Hymenobacter yonginensis
Vitis cinerea var. helleri x Vitis rupestris
Humitalea rosea
Isoptericola variabilis 225
Colletotrichum endophyticum
Cohnella hongkongensis
Ptenothrix huangshanensis
Malus ombrophila
Saccharothrix ecbatanensis
Bacillus smithii
Drosophila recens
Coemansia umbellata
Parasedimentitalea maritima
Pigmentiphaga daeguensis
Heteromormyrus szaboi
Medicago ruthenica
Streptococcus catagoni
Flagellimonas myxillae
Buellia spuria
Gordonia rubripertincta
Streptomyces poonensis
Sporothrix epigloea
Wolbachia endosymbiont of Drosophila ananassae
Ascaris suum
Linepithema humile
Pseudomethylobacillus aquaticus
Trapeliopsis flexuosa
Talaromyces amestolkiae
Bartonella pachyuromydis
Ellobius talpinus
Streptosporangium brasiliense
Flavobacterium luteolum
Sphingopyxis indica
Granulimonas faecalis
Echinococcus multilocularis
Actinacidiphila acididurans
Alternaria gansuensis
Mucilaginibacter terrenus
Ancylobacter sonchi
Solibacillus faecavium
Solanum commersonii
Oribacterium asaccharolyticum ACB7
Thiorhodovibrio frisius
Pseudomonas viciae
Anisakis simplex
Winogradskyella flava
Chitinophaga vietnamensis
Zoogloea oleivorans
Stagnihabitans tardus
Myroides guanonis
Chiasmia clathrata
Drosophila insularis
Halomonas citrativorans
Hankyongella ginsenosidimutans
Sander vitreus
Ictalurus punctatus
Halorussus ruber
Brenneria alni
Neobacillus niacini NBRC 15566
Vibrio aestuarianus
Antennarius striatus
Ophiostoma populinum
Pantoea eucalypti
Canna indica
Myomyrus pharao
Mycobacterium spongiae
Delphinus delphis
Taibaiella soli
Helcococcus sueciensis DSM 17243
Dalopius marginatus
Nitratireductor alexandrii
Clostera curtula
Microbacterium horticulturae
Holcocephala fusca
Gemmatimonas groenlandica
Tsukamurella sputi
Anaerolinea thermolimosa
Spea multiplicata
Styphnolobium japonicum
Aromatoleum aromaticum EbN1
Aliiroseovarius marinus
Piaractus mesopotamicus
Retiboletus fuscus
Blastobotrys persicus
Coprinopsis strossmayeri
Buttiauxella izardii
Paenibacillus pabuli NBRC 13638
Xema sabini
Natranaeroarchaeum aerophilus
Staphylococcus pasteuri
Apotomis capreana
Corticimicrobacter populi
Balantidium ctenopharyngodoni
Ficedula hypoleuca
Iphiclides podalirius
Thalassospira marina
Streptomyces kaempferi
Peribacillus frigoritolerans
Ferdinandcohnia quinoae
Caulobacter henricii
Microvirga lupini
Actinomadura macra NBRC 14102
Telescopus dhara
Aliterella atlantica CENA595
Alteribacillus iranensis
Ureibacillus thermophilus
Adelges cooleyi
Cellulomonas fengjieae
Bremia lactucae
Natronomonas pharaonis DSM 2160
Melanitta perspicillata
Pandoraea pneumonica
Calidris pugnax
Methylobacterium haplocladii
Salinimonas sediminis
Mycobacterium kyogaense
Emticicia soli
Candidatus Karelsulcia muelleri
Halosquirtibacter xylanolyticus
Pluvianellus socialis
Charidia lucaria
Draba incana
Myoxocephalus scorpius
Pseudoverpa anthracobia
Udeniomyces megalosporus
Megalurothrips usitatus
Cinnamomum micranthum f. kanehirae
Apiospora aurea
Acetobacter okinawensis
Actinoallomurus oryzae
Desulfonema limicola
Alternaria oregonensis
Schaalia suimastitidis DSM 15538
Paracidovorax anthurii
Streptococcus chosunense
Xenotilapia nasus
Physeter macrocephalus
Ophiodon elongatus
Pseudonocardia yunnanensis
Mucilaginibacter boryungensis
Strix uralensis
Streptomyces alboniger
Nicotiana knightiana
Cervus canadensis
Hydrogenophaga crocea
Nodularia chucula CCY0103
Flagellimonas nanhaiensis
Mobiluncus mulieris
Kallotenue papyrolyticum
Halopiger aswanensis
Methanochimaera problematica
Solicola gregarius
Vulcanisaeta thermophila
Hydrogenophaga atypica
Streptosporangium jomthongense
Protoeuglena noctilucae
Cryphonectria nitschkei
Rhodohalobacter sulfatireducens
Sphingomonas tagetis
Rhodopseudomonas faecalis
Herpetotheres cachinnans
Erwinia amylovora
Spiroplasma endosymbiont of Colias croceus
Metamycoplasma buccale
Phyllobacterium sophorae
Cercopithecus petaurista
Marasmarcha lunaedactyla
Dicrocoelium dendriticum
Marisora unimarginata
Aurifilum marmelostoma
Companilactobacillus keshanensis
Myceligenerans crystallogenes
Nocardioides agri
Sebastiscus albofasciatus
Methanobrevibacter arboriphilus JCM 13429 = DSM 1125
Molossus alvarezi
Fervidibacillus halotolerans
Halomonas koreensis
Pseudomonas sputi
Ganoderma sinense ZZ0214-1
Lordiphosa mommai
Rhinolophus perniger lanosus
Candidatus Litorirhabdus singularis
Pythium porphyrae
Papilio bianor
Speleostelium caveatum
Synergus magnus
Daphnia pulicaria
Arachnia propionica
Cryobacterium tepidiphilum
Actinomadura keratinilytica
Geobacter pickeringii
Metrosideros polymorpha var. glaberrima
Tenacibaculum holothuriorum
Hoeflea prorocentri
Enterobacteriaceae endosymbiont of Plateumaris braccata
Devosia sediminis
Methylocystis parvus OBBP
Photobacterium lipolyticum
Naja naja
Oceanodroma leucorhoa
Trichinella zimbabwensis
Lepetodrilus tevnianus
Liobagrus marginatus
Phyllosticta citrichinensis
Wolbachia endosymbiont (group B) of Idaea aversata
Sclerotinia trifoliorum
Trigonopsis vinaria
Halarsenatibacter silvermanii
Costaria costata
Chironex yamaguchii
Maribellus comscasis
Nocardioides daejeonensis
Bellardia bayeri
Prototheca zopfii
Sphingomonas oligophenolica
Acetobacter persici
Chryseomicrobium aureum
Candidatus Nanopelagicus limnes
Leuconostoc falkenbergense
Wickerhamiella hasegawae
Borrelia hermsii
Melanotaenia goldiei
Ibidorhyncha struthersii
Alnus incana
Melipona quadrifasciata
Halosegnis rubeus
Legionella beliardensis
Sanguibacter massiliensis
Natronorubrum daqingense
Massilia antarctica
Acidovorax kalamii
Homoserinimonas aerilata
Saonia flava
Cladonia squamosa
Actinocatenispora comari
Kitasatospora aureofaciens
Flavobacterium luteum
Mucilaginibacter gracilis
Kodamaea fungicola
Polylopha cassiicola
Cathorops wayuu
Choloepus didactylus
Ditylenchus destructor
Streptomyces actinomycinicus
Alviniconcha marisindica
Roseovarius atlanticus
Dendrobium catenatum
Bathelium albidoporum
Bipolaris bicolor
Acetobacterium fimetarium
Elizabethkingia miricola
Streptococcus hyovaginalis DSM 12219
Actinomyces urogenitalis
Novosphingobium aquiterrae
Flabesymbios commensalis
Muschampia staudingeri
Aspergillus proliferans
Phytophthora x heterohybrida
Drosophila sucinea
Loigolactobacillus rennini DSM 20253
Bacillus pacificus
Ficus religiosa
Erythroxylum rufum
Paracoccus simplex
Oropetium thomaeum
Helicobacter ganmani
Scrofimicrobium canadense
Thoracochromis brauschi
Incumbomyces delicatus
Ara glaucogularis
cyanobacterium endosymbiont of Rhopalodia gibberula
Emesis castigata
Saiga tatarica
Halorhabdus salina
Oxytorus armatus
Phoca vitulina
Withania somnifera
Anthropogastromicrobium aceti
Mucilaginibacter ginkgonis
Brotogeris chrysoptera
Marivirga salinae
Agrilutibacter niabensis
Thermofilum pendens Hrk 5
Nanger granti
Acinetobacter shaoyimingii
Lobotractus valeriana
Amphiprion percula
Lysinibacillus pakistanensis
Octadecabacter antarcticus 307
Bordetella trematum
Emesis lupina
Alteromonas mediterranea
Beroe ovata
Aestuariispira insulae
Ctenochaetus hawaiiensis
Triaxomera parasitella
Vagococcus allomyrinae
Methylobacterium komagatae
Flaveria sonorensis
Franconibacter daqui
Neolamprologus petricola
Virgibacillus dokdonensis
Campylobacter suis
Selaginella tamariscina
Streptococcus moroccensis
Vigna trinervia
Halovivax cerinus
Flavobacterium helocola
Microsynodontis batesii
Steinernema hermaphroditum
Haloferula helveola
Poecilia latipinna
Propioniciclava flava
Sciades troschelii
Kitasatospora arboriphila
Methanosarcina vacuolata Z-761
Valencia hispanica
Stylephorus chordatus
Hanseniaspora taiwanica (nom. inval.)
Anaeroplasma bactoclasticum
Pseudoscada florula
Eristalis pertinax
Drosophila prostipennis
Falsibacillus pallidus
Stutzerimonas xanthomarina
Pseudomonas cyclaminis
Bremerella volcania
Anoxybacillus tengchongensis
Apeltes quadracus
Acutalibacter intestini
Thiolinea disciformis DSM 14473
Devosia aurantiaca
Krasilnikovia cinnamomea
Pichia deserticola
Taphrina wiesneri
Anentome helena
Drosophila buzzatii
Limosilactobacillus avistercoris
Trigonopsis cantarellii
Bifidobacterium eulemuris
Frondihabitans australicus
Bostrychus sinensis
Streptomyces nogalater
Myroides fluvii
Paenibacillus contaminans
Macquaria australasica
Paenibacillus dokdonensis
Dendrobium nobile
Scytonema hofmannii PCC 7110
Treponema socranskii subsp. buccale
Kosakonia pseudosacchari
Caenorhabditis sinica
Aquimarina aquimarini
Natrinema altunense
Leptogium chloromelum
Entamoeba invadens IP1
Malassezia pachydermatis
Carex sylvatica
Calocybe gambosa
Pseudoalteromonas amylolytica
Cardiopharynx schoutedeni
Hanleya hanleyi
Staurois parvus
Pterophyllum scalare
Agapornis roseicollis
Elephas maximus indicus
Fusarium concentricum
Pseudomonas asplenii
Pseudochrobactrum algeriensis
Gordonia jinhuaensis
Levilactobacillus namurensis
Roseobacter fucihabitans
Neolamprologus tetracanthus
Ancistrus triradiatus
Nocardia colli
Solanum pimpinellifolium
Candida sojae
Methylotenera versatilis 301
Cerina litoralis
Spirulina major PCC 6313
Vanessa tameamea
Xerocomus ferrugineus
Neisseria weaveri
Hypseleotris bucephala
Pseudomonas asgharzadehiana
Sisyra terminalis
Halobacillus alkaliphilus
Pyracantha coccinea
Methylophilus aquaticus
Clitopilus passeckerianus
Abiotrophia defectiva
Capnocytophaga leadbetteri
Leptinotarsa decemlineata
Medicago truncatula
Paradesertivirga mongoliensis
Phytophthora multivora
Salinicoccus sediminis
Vibrio cidicii
Marinomonas algicola
Mumia xiangluensis
Acidocella aquatica
Poikilolaimus oxycercus
Heliconius wallacei
Rhizophlyctis rosea
Halomonas caseinilytica
Caloramator quimbayensis
Lutimonas zeaxanthinifaciens
Neobacillus driksii
Prauserella endophytica
Enterovibrio gelatinilyticus
Bifidobacterium imperatoris
Lithophaga antillarum
Polaribacter sejongensis
Galaxias fontanus
Pseudoxanthomonas wuyuanensis
Anas aucklandica
Pseudaquabacterium pictum
Lacimonas salitolerans
Candidatus Phytoplasma solani
Neobacillus rhizosphaerae
Pseudooceanicola atlanticus
Fluviispira vulneris
Modicisalibacter coralii
Achromobacter xylosoxidans
Lunasporangiospora selenospora
Danio rerio
Plecturocebus bernhardi
Extensimonas vulgaris
Gryllus assimilis
Pseudoclavibacter caeni
Aspergillus brunneus
Dysphania ambrosioides
Leeuwenhoekiella parthenopeia
Bombus vosnesenskii
Acanthamoeba mauritaniensis
Labeo gonius
Staphylococcus rostri
Monilinia polystroma
Streptomyces alanosinicus
Daphnia carinata
Limenitis arthemis
Miniimonas arenae
Nocardioides panaciterrulae
Evansstolkia leycettana
Tetragonisca angustula
Psilopsiagon aymara
Epicoccum sorghinum
Terasakiispira papahanaumokuakeensis
Halogeometricum salsisoli
Trypanosoma caninum
Streptococcus gallinaceus
Nonomuraea antri
Luteimonas salinilitoris
Streptomyces roseiscleroticus
Thermotoga petrophila RKU-1
Kitasatospora paracochleata
Thalassolituus maritimus
Hydropsyche tenuis
Heliocidaris erythrogramma
Legionella impletisoli
Chitinophaga silvisoli
Candidatus Walczuchella endosymbiont of Icerya purchasi
Geodermatophilus siccatus
Isabelozyma pseudorhagii
Fusobacterium hominis
Providencia burhodogranariea DSM 19968
Coryphaenoides rupestris
Encephalitozoon romaleae SJ-2008
Actinocorallia populi
Demequina lutea
Tockus leucomelas
Pseudomonas coleopterorum
Chromohalobacter canadensis
Globisporangium paroecandrum
Pararhizobium arenae
Saccharomyces cerevisiae x Saccharomyces kudriavzevii
Junonia nigrosuffusa
Xenotilapia bathyphilus
Beryx splendens
Acanthoscelides obtectus
Jiangella anatolica
Papaver armeniacum
Duganella dendranthematis
Caryophanon tenue
Parotocinclus cabessadecuia
Photobacterium ganghwense
Pseudomonas grimontii
Sericomyia silentis
Nocardia speluncae
Streptomyces griseicoloratus
Wandonia haliotis
Anodorhynchus hyacinthinus
Alloalcanivorax dieselolei B5
Azospirillum picis
Parochlus steinenii
Zerene cesonia
Scheffersomyces virginianus
Methanococcus vannielii SB
Andrena hattorfiana
Dyadobacter koreensis
Listeria grayi
Pseudomonas carnis
Virgibacillus byunsanensis
Arthrobacter russicus
Apogonichthyoides opercularis
Microlunatus soli
Balanophora yakushimensis
Saksenaea vasiformis B4078
Cossypha dichroa
Methylopila henanensis
Plasmopara viticola
Tolypocladium ovalisporum
Lysinibacillus louembei
Osmozyma mogii
Mucilaginibacter celer
Aspergillus tanneri
Sebastolobus alascanus
Gordonia mangrovi
Elioraea tepidiphila DSM 17972
Methylobacterium gnaphalii
Scleroderma citrinum
Elongatibacter sediminis
Amoeboaphelidium occidentale
Pseudoxanthomonas spadix BD-a59
Drosophila lacicola
Raphanus sativus
Acuticoccus kandeliae
Pelagerythrobacter aerophilus
Acanthococcus lagerstroemiae
Podila horticola
Oconnorella tubifera
Paenibacillus arenilitoris
Geothrix fuzhouensis
Hyalyris coeno
Leptophobia aripa
Peloplasma aerotolerans
Sporosarcina siberiensis
Cunninghamia lanceolata
Pseudomonas marginalis
Streptomyces roseofulvus
Trichogramma pretiosum
Sylvicola cinctus
Tomopterna cryptotis
Kobus leche leche
Candidatus Phytoplasma sacchari
Mungos mungo
Rhodococcoides fascians
Typhedanus ampyx
Anaerorhabdus furcosa
Melanargia russiae
Lamprologus callipterus
Montipora efflorescens
Eubacterium multiforme
Plasmodium coatneyi
Bungarus multicinctus
Cryptosporangium japonicum
Pseudonocardia petroleophila
Streptomyces termitum
Isoptericola haloaureus
Haloferax elongans ATCC BAA-1513
Paenibacillus frigoriresistens
Buteo buteo
Geosmithia morbida
Oileides vulpinus
Bombus rufofasciatus
Hanseniaspora lachancei
Vagococcus elongatus
Nitratidesulfovibrio oxamicus
Novosphingobium aureum
Polia bombycina
Flavobacterium chuncheonense
Leptospira vanthielii
Neolamprologus mondabu
Lasioglossum albipes
Ignicoccus hospitalis KIN4/I
Streptomyces filamentosus
Triclaria malachitacea
Hydrotaea cyrtoneurina
Kaistia geumhonensis
Arenimonas metalli CF5-1
Dipteryx alata
Huaxiibacter chinensis
Erythroxylum platyclados
Branchiostoma floridae
Capnocytophaga ochracea DSM 7271
Nitrosospira lacus
Arcicella gelida
Altericroceibacterium indicum
Uroleptopsis citrina
Penicillium lagena
Iodobacter violaceini
Penicillium palitans
[Candida] stauntonica
Hystrix brachyura
Streptomyces niphimycinicus
Nycteola revayana
Microbispora bryophytorum
Glycomyces artemisiae
Nisaetus cirrhatus
Melittangium boletus DSM 14713
Emmelia trabealis
Xylographa trunciseda
Laccaria amethystina LaAM-08-1
Microbacterium lacus
Penicillium canescens
Azotobacter salinestris
Ionaspis lacustris
Rahnella ecdela
Taylorella equigenitalis
Chiridota heheva
Melanopsichium pennsylvanicum
Actinoplanes rectilineatus
Cryptococcus deuterogattii R265
Candidatus Korarchaeum cryptofilum OPF8
Eleutherodactylus coqui
Erinaceus europaeus
Mycetocola zhujimingii
Nonomuraea helvata
Apyrrothrix araxes araxes
Cyberlindnera bimundalis
Raja brachyura
Mycena citricolor
Melastoma malabathricum subsp. normale
Silanimonas lenta DSM 16282
Lipomyces tetrasporus
Rhabdothermincola sediminis
Lomographa temerata
Alternaria postmessia
Fulvimarina endophytica
Halopseudomonas litoralis
Herbidospora sakaeratensis
Pyricularia oryzae 70-15
Inhella crocodyli
Endozoicomonas atrinae
Gilvimarinus japonicus
Thymelicus sylvestris
Vibrio ezurae
Aspidoscelis marmoratus
Geosmithia putterillii
Calvadosia cruxmelitensis
Candidatus Nitrosomarinus catalina
Ophrys sphegodes subsp. sphegodes
Rubritepida flocculans DSM 14296
Frondihabitans cladoniiphilus
Brevundimonas faecalis
Phania funesta
Streptomyces specialis
Cecropterus acanthopoda
Leccinum griseonigrum
Latrodectus elegans
Corynebacterium pseudogenitalium
Methanorbis furvi
Ptilorrhoa leucosticta
Staphylococcus epidermidis
Phoenicibacter congonensis
Bathygadus melanobranchus
Gordonia neofelifaecis NRRL B-59395
Danaus erippus
Wolinella succinogenes
Polyangium aurulentum
Sphingopyxis yananensis
Acropora cervicornis
Meda fulgida
Macrocentrus cingulum
Salinispora tropica CNB-440
Rosa spinosissima
Herbaspirillum lusitanum
Rhizorhabdus wittichii
Mannheimia haemolytica
Bugulina stolonifera
Streptomyces sichuanensis
Myrmecobius fasciatus
Lentzea fradiae
Tringa flavipes
Pseudomonas nicosulfuronedens
Andricus kollari
Chroicocephalus genei
Aquabacterium fontiphilum
Microcella humidisoli
Microtetraspora malaysiensis
Esox lucius
Anhinga anhinga
Amorphus orientalis
Nocardioides oleivorans
Phytoactinopolyspora mesophila
Mesonia phycicola
Cisticola cherina
Pseudomonas oryziphila
Aeromicrobium camelliae
Streptomyces indonesiensis
Umbilicaria freyi
Shewanella olleyana
Luteimonas notoginsengisoli
Nereocystis luetkeana
Bifidobacterium aesculapii
Strigamia transsilvanica
Aeromonas hydrophila subsp. hydrophila ATCC 7966
Balnearium lithotrophicum
Daboia siamensis
Mariannaea elegans
Enterobacteriaceae endosymbiont of Donacia semicuprea
Lacicoccus alkaliphilus DSM 16010
Kregervanrija delftensis
Streptomyces tamarix
[Candida] taylorii
Aspergillus sojae
Actinopolyspora erythraea
Apamea sordens
Streptosporangium carneum
Tetramorium bicarinatum
Paraglaciecola agarilytica
Butyricicoccus porcorum
Anthracocystis walkeri
Microbacterium galbum
Canibacter oris
Fenollaria massiliensis
Oreamnos americanus
Shewanella baltica OS678
Akanthomyces dipterigenus
Corynebacterium provencense
Arcobacter defluvii
Sebastes steindachneri
Saccoglossus kowalevskii
Genlisea aurea
Demequina mangrovi
Billgrantia aerodenitrificans
Thalassianthus aster
Weissella oryzae SG25
Paenibacillus algorifonticola
Venatoribacter cucullus
Prevotella denticola
Lorius garrulus
Pectocarya recurvata
Symplocos macrophylla
Cupriavidus pampae
Halobaculum magnesiiphilum
Kazachstania viticola
Brevibacillus fortis
Percina caprodes
Rickettsia bellii RML369-C
Undibacterium jejuense
Argynnis mormonia
Psychrobacter arcticus 273-4
Xylaria polymorpha
Flavobacterium humi
Streptomyces thermogriseus
Pedobacter lithocola
Sanguibacteroides justesenii
Mycobacterium conspicuum
Diaporthe aspalathi
Brettanomyces bruxellensis
Parerythrobacter aestuarii
Bos gaurus x Bos taurus
Flavobacterium geliluteum
Xanthomonas maliensis
Candidatus Pantoea edessiphila
Fraxinus americana
Methylomarinum vadi
Haplochromis vanheusdeni
Logfia minima
Halorubrum rubrum
Oikopleura longicauda
Planoprotostelium fungivorum
Sicyosperma gracile
Salinicola avicenniae
Nocardia fusca NBRC 14340
Mobula birostris
Kineosporia mesophila
Dirofilaria repens
Acephala macrosclerotiorum
Moraxella catarrhalis
Ambrosiozyma neoplatypodis
Burkholderia dolosa
Ogataea salicorniae
Anthophora plumipes
Nocardia harenae NBRC 108248
Streptomyces bambusae
Meyerozyma athensensis
Sebastes trivittatus
Hemignathus wilsoni
Pantoea latae
Achromobacter arsenitoxydans SY8
Paraburkholderia kirstenboschensis
Neolamprologus gracilis
Sebastes variabilis
Psittacula roseata
Cornuphallus albafascia
Hibiscus sabdariffa
Candidatus Phyllobacterium onerii
Machaerirhynchus nigripectus
Azospirillum cavernae
Limnanthes douglasii subsp. nivea
Pisolithus tinctorius
Cebus unicolor
Bifidobacterium fermentum
Pterocarpus santalinus
Thiospirillum jenense
Erebia meolans
Mesoplasma tabanidae
Bombus dahlbomii
Muschampia plurimacula
Paraprevotella clara YIT 11840
Pelecanoides urinatrix
Robertmurraya kyonggiensis
Spongiibacter pelagi
Laspeyria flexula
Treponema paraluiscuniculi Cuniculi A
Maridesulfovibrio frigidus DSM 17176
Wolbachia endosymbiont (group B) of Phalera bucephala
Nocardia sienata NBRC 100364
Phytophthora tubulina
Microbacterium terricola
Blautia coccoides
Argonema galeatum A003/A1
Jezberella montanilacus
Pseudomonas tructae
Colpoda cucullus
Drosophila quasianomalipes
Lithohypha guttulata
Bacillus wudalianchiensis
Streptomyces lienomycini
Sulfurospirillum diekertiae
Arcanobacterium haemolyticum
Euphydryas editha
Fusarium aethiopicum
Micromonospora craniellae
Bombus hypnorum
Rhizocola hellebori
Hyperoodon ampullatus
Monochamus saltuarius
Deladenus siricidicola
Bacteroides coprosuis
Homalodisca vitripennis
Combretum micranthum
Blochmannia endosymbiont of Camponotus sp. C-003
Bursaphelenchus xylophilus
Truncatella angustata
Australozyma saopauloensis
Drosophila mayaguana
Sinohyriopsis cumingii
Cupriavidus laharis
Streptomyces reniochalinae
Poeciliopsis paucimaculata
Bosea beijingensis
Exophiala spinifera
Sceloporus occidentalis
Selenomonas ruminantium subsp. ruminantium ATCC 12561
Suaeda aralocaspica
Diplolepis rosae
Clanis bilineata
Excalfactoria chinensis
Roseateles koreensis
Phocaeicola plebeius DSM 17135
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
Janthinobacterium violaceinigrum
[Bacillus] enclensis
Flavobacterium maritimum
Pararoseomonas indoligenes
Solanum medicagineum
Drosophila parthenogenetica
Geomonas nitrogeniifigens
Polymorphospora lycopeni
Euriphellus phraxanor
Nicephellus nicephorus
Udranomia kikkawai
Brevibacterium senegalense
Adlercreutzia caecimuris B7
Actinophytocola algeriensis
Adoristes ovatus
Rhizopus microsporus ATCC 52813
Streptomyces flaveolus
Desulforhabdus amnigena
Affinibrenneria salicis
Alviniconcha strummeri
Varunaivibrio sulfuroxidans
Origma solitaria
Micromys minutus
Mythimna lalbum
Paenibacillus provencensis
Huso huso
Apis laboriosa
Colletotrichum ledebouriae
Mobilibacterium timonense
Pontibacter beigongshangensis
Herbaspirillum huttiense
Allopauropus danicus
Gymnothorax javanicus
Vigna unguiculata
Nostoc piscinale CENA21
Ptychadena erlangeri
Sphingomonas rosea
Phtheirospermum japonicum
Poecilia velifera
Streptomyces platensis
Chromohalobacter nigrandesensis
Ogataea methylovora
Niebla homalea
Ophryocystis elektroscirrha
Echinaster sepositus
Sorex ornatus
Apis dorsata
Proteides mercurius
Syndactyla subalaris
Rhodanobacter ginsengisoli
[Candida] tibetensis
Colletotrichum phormii
Funiculus sociatus GB2-C1
Kribbella shirazensis
Mycolicibacterium obuense
Torreya grandis
Graphium evemon
Hydrogenivirga caldilitoris
Alkalibacillus almallahensis
Lepidopterella palustris CBS 459.81
Pachypanchax playfairii
Aquimarina pacifica
Parmotrema neotropicum
Graphium colonna
Candidatus Hepatoplasma crinochetorum Av
Cephus cinctus
Porcisia deanei
Tasmannia lanceolata
Camelus ferus
Cellulomonas aerilata
Caballeronia choica
Eretmocerus hayati
Liberibacter crescens
Mesonia hippocampi
Eulithis testata
Rhodovulum viride
Dynastes tityus
Eumandya parva
Lagocephalus sceleratus
Collinsella stercoris
Haloarcula rubripromontorii
Imshaugia aleurites
Lepidocyrtus lignorum
Lasius niger
Neotoxoptera formosana
Pseudomonas aeruginosa PAO1
Petrosia ficiformis
Calonectria pseudoreteaudii
Aeriscardovia aeriphila
Orthosia cerasi
Tandanus tandanus
Bacillus litorisediminis
Neolamprologus mustax
Nostoc commune NIES-4072
Achaetomiella virescens
Aspergillus turcosus
Paulownia fortunei
Mycobacterium parmense
Oryzias latipes
